Unnamed: 0_level_0_Player,Unnamed: 5_level_0_Min,Pos,Performance_Gls,Performance_Ast,Performance_Sh,Performance_SoT,Passes_Cmp,Passes_Att,Unnamed: 23_level_0_KP,Performance_Crs,Take-Ons_Succ,Take-Ons_Att,Carries_Dis,Performance_Fls,Performance_Off,Performance_Tkl,Performance_Int,Unnamed: 20_level_0_Clr,Blocks_Sh,Challenges_Lost,Unnamed: 21_level_0_Err,Performance_OG,Aerial Duels_Won,Aerial Duels_Lost,Performance_PKwon,Performance_PKcon,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Team,minutes_played,goals_scored,goals_conceded,name,score_calc,pos_calc,name_lower,score_excel,pos_excel,diff,pos_match,abs_diff
Marcel Sabitzer,67,MID,0,0,0,0,19,25,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Away,67,0,3,Marcel Sabitzer,13,MID,marcel sabitzer,12,MID,1,True,1
Matheus Nunes,90,DEF,0,0,0,0,50,58,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,2,0,0,0,0,0,0,Home,90,4,1,Matheus Nunes,13,DEF,matheus nunes,14,DEF,-1,True,1
Waldemar Anton,90,DEF,1,0,0,2,72,81,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Away,90,1,4,Waldemar Anton,19,DEF,waldemar anton,20,DEF,-1,True,1
Rayan Aït-Nouri,9,DEF,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Home,4,1,0,Rayan Aït-Nouri,8,DEF,rayan aït-nouri,7,DEF,1,True,1
Bernardo Silva,11,MID,0,0,0,0,10,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Home,11,1,0,Bernardo Silva,15,MID,bernardo silva,14,MID,1,True,1
Rayan Cherki,11,MID,1,0,0,1,4,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Home,11,1,0,Rayan Cherki,24,MID,rayan cherki,25,MID,-1,True,1
Erling Haaland,86,FWD,1,0,0,3,13,16,1,0,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,Home,86,3,1,Erling Haaland,44,FWD,erling haaland,45,FWD,-1,True,1
Phil Foden,90,MID,2,0,0,4,47,52,3,6,2,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,Home,90,4,1,Phil Foden,65,MID,phil foden,64,MID,1,True,1
Omar Marmoush,9,FWD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Home,4,1,0,Omar Marmoush,8,FWD,omar marmoush,8,FWD,0,True,0
Julian Ryerson,90,DEF,0,1,0,0,26,30,3,8,0,0,2,3,0,2,0,4,0,3,0,0,0,2,0,0,0,0,0,0,Away,90,1,4,Julian Ryerson,21,DEF,julian ryerson,21,DEF,0,True,0
Rúben Dias,11,DEF,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Home,11,1,0,Rúben Dias,10,DEF,rúben dias,10,DEF,0,True,0
Serhou Guirassy,67,FWD,0,0,0,1,18,21,0,0,0,1,0,1,0,0,0,1,1,0,0,0,2,3,0,0,0,0,0,0,Away,67,0,3,Serhou Guirassy,14,FWD,serhou guirassy,14,FWD,0,True,0
Emre Can,23,DEF,0,0,0,0,29,29,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Away,23,1,1,Emre Can,13,DEF,emre can,13,DEF,0,True,0
Jobe Bellingham,23,MID,0,0,0,0,17,17,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Away,23,1,1,Jobe Bellingham,8,MID,jobe bellingham,8,MID,0,True,0
Carney Chukwuemeka,23,MID,0,0,0,0,12,13,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Away,23,1,1,Carney Chukwuemeka,10,MID,carney chukwuemeka,10,MID,0,True,0
Ramy Bensebaini,67,DEF,0,0,0,0,28,28,0,0,0,0,0,4,0,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0,Away,67,0,3,Ramy Bensebaini,9,DEF,ramy bensebaini,9,DEF,0,True,0
