Match_ID,Round,Match,Team,Player,Calculated_Score,Saves,Claims,Sweeper,Goals_Prevented,Minutes
14566973,Round 7,napoli-fc-kobenhavn,FC København,Dominik Kotarski,26,4,0,1,0.2018,90
14566973,Round 7,napoli-fc-kobenhavn,Napoli,Vanja Milinković-Savić,44,3,0,2,1.0697,90
14566612,Round 7,inter-arsenal,Inter,Yann Sommer,24,3,0,0,0.233,90
14566612,Round 7,inter-arsenal,Arsenal,David Raya,36,3,2,0,-0.0305,90
14566866,Round 7,olympiacos-fc-bayer-04-leverkusen,Olympiacos FC,Konstantinos Tzolakis,45,6,2,0,2.2049,90
14566866,Round 7,olympiacos-fc-bayer-04-leverkusen,Bayer 04 Leverkusen,Janis Blaswich,17,0,0,0,-0.8996,90
14566598,Round 7,real-madrid-as-monaco,Real Madrid,Thibaut Courtois,33,5,0,1,0.7761,90
14566598,Round 7,real-madrid-as-monaco,AS Monaco,Philipp Köhn,20,1,2,0,-2.3368,90
14566854,Round 7,sporting-paris-saint-germain,Sporting CP,Rui Silva,24,5,0,0,-0.0545,90
14566854,Round 7,sporting-paris-saint-germain,Paris Saint-Germain,Lucas Chevalier,23,2,0,0,-0.5717,90
14566826,Round 7,borussia-dortmund-tottenham-hotspur,Tottenham Hotspur,Guglielmo Vicario,32,1,1,0,0.0722,90
14566826,Round 7,borussia-dortmund-tottenham-hotspur,Borussia Dortmund,Gregor Kobel,37,3,1,1,0.3832,90
14566783,Round 7,afc-ajax-villarreal,Villarreal,Arnau Tenas,25,3,0,1,-0.6359,90
14566783,Round 7,afc-ajax-villarreal,AFC Ajax,Vítězslav Jaroš,32,6,0,1,0.668,90
14566935,Round 7,galatasaray-atletico-madrid,Galatasaray,Uğurcan Çakır,11,3,0,0,-0.2635,90
14566935,Round 7,galatasaray-atletico-madrid,Atlético Madrid,Jan Oblak,28,2,1,1,-0.9002,90
14566920,Round 7,qarabag-eintracht-frankfurt,Qarabağ FK,Mateusz Kochalski,29,3,0,1,-0.4747,90
14566920,Round 7,qarabag-eintracht-frankfurt,Eintracht Frankfurt,Kauã Santos,26,3,1,0,-0.7629,90
14566729,Round 7,athletic-club-atalanta,Atalanta,Marco Carnesecchi,22,0,1,0,-0.9988,90
14566729,Round 7,athletic-club-atalanta,Athletic Club,Unai Simón,31,2,1,1,-0.034,90
14566583,Round 7,pafos-fc-chelsea,Chelsea,Filip Jørgensen,31,0,0,1,0.0,45
14566583,Round 7,pafos-fc-chelsea,Chelsea,Robert Sánchez,20,2,0,0,0.0517,45
14566583,Round 7,pafos-fc-chelsea,Pafos FC,Jay Gorter,19,6,0,0,0.8011,90
